"SIPSN - Sistem Informasi Pengelolaan Sampah Nasional","","","","","","","","",""
"Tahun","Provinsi","Kabupaten/Kota","Rumah Tangga(ton)","Perkantoran(ton)","Pasar(ton)","Perniagaan(ton)","Fasilitas Publik(ton)","Kawasan(ton)","Lain(ton)"
"2022","Aceh","Kab. Aceh Selatan","1.10","0.92","6.00","5.65","5.95","0.40",""
"2022","Aceh","Kab. Aceh Tenggara","20.00","14.00","25.00","15.00","8.00","8.00","1.00"
"2022","Aceh","Kab. Aceh Timur","19.30","5.04","10.00","8.00","5.00","2.00","2.00"
"2022","Aceh","Kab. Aceh Barat","38.80","5.95","13.15","25.56","7.39","6.06","4.09"
"2022","Aceh","Kab. Pidie","9.90","6.60","39.60","","3.96","","5.94"
"2022","Aceh","Kab. Simeulue","27.21","4.46","5.80","3.57","2.68","0.45","0.45"
"2022","Aceh","Kab. Aceh Singkil","31.00","1.00","10.00","4.00","3.00","2.00","1.77"
"2022","Aceh","Kab. Aceh Barat Daya","4.00","1.00","4.50","2.00","3.20","3.50","2.00"
"2022","Aceh","Kab. Gayo Lues","22.00","4.00","11.05","1.00","2.00","","1.00"
"2022","Aceh","Kab. Aceh Jaya","17.94","3.78","7.08","10.39","4.72","2.36","0.94"
